Тип мероприятия,Формат мероприятия,Место проведения,Количество участников,Периодичность
Уборка территории,Групповое,Крылатское,200,Еженедельно
Уборка территории,Волонтерская деятельность,Люблино,184,Раз в год
Насаждение деревьев,Групповое,Химки,412,Раз в год
Субботник,Групповое,Воробьевы горы,208,Раз в месяц
Эко-лекция,Индивидуальное,Крылатское,380,Еженедельно
Уход за парком,Индивидуальное,Парк Горького,424,Раз в год
Насаждение деревьев,Групповое,Парк Горького,346,Еженедельно
Уборка территории,Индивидуальное,Крылатское,9,Раз в месяц
Субботник,Волонтерская деятельность,Лосиный Остров,493,Еженедельно
Эко-лекция,Индивидуальное,Химки,225,Раз в год
Уборка территории,Волонтерская деятельность,Подольск,148,Раз в год
Эко-лекция,Групповое,Битцевский лес,408,Раз в месяц
Уборка территории,Индивидуальное,Крылатское,443,Еженедельно
Уход за парком,Индивидуальное,Сокольники,214,Раз в год
Эко-лекция,Групповое,Измайловский парк,78,Раз в год
Насаждение деревьев,Индивидуальное,Люблино,23,Раз в год
Уход за парком,Групповое,Парк Горького,413,Раз в год
Уборка территории,Волонтерская деятельность,Люблино,282,Раз в месяц
Уборка территории,Групповое,Воробьевы горы,175,Раз в месяц
Уход за парком,Групповое,Крылатское,125,Раз в год
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,157,Раз в год
Уход за парком,Групповое,Крылатское,136,Раз в месяц
Уборка территории,Индивидуальное,Подольск,278,Раз в год
Уборка территории,Индивидуальное,Лосиный Остров,220,Еженедельно
Субботник,Групповое,Воробьевы горы,97,Раз в месяц
Субботник,Волонтерская деятельность,Химки,390,Раз в год
Насаждение деревьев,Групповое,Мытищи,484,Еженедельно
Субботник,Волонтерская деятельность,Воробьевы горы,126,Раз в год
Эко-лекция,Групповое,Битцевский лес,205,Еженедельно
Уход за парком,Индивидуальное,Воробьевы горы,322,Раз в год
Уход за парком,Волонтерская деятельность,Воробьевы горы,146,Еженедельно
Уход за парком,Групповое,Химки,222,Раз в месяц
Эко-лекция,Волонтерская деятельность,Люблино,22,Раз в год
Эко-лекция,Групповое,Воробьевы горы,111,Раз в месяц
Уход за парком,Индивидуальное,Парк Горького,36,Раз в год
Уборка территории,Групповое,Сокольники,176,Еженедельно
Уборка территории,Индивидуальное,Крылатское,55,Раз в месяц
Насаждение деревьев,Групповое,Химки,249,Раз в год
Субботник,Волонтерская деятельность,Битцевский лес,404,Еженедельно
Насаждение деревьев,Индивидуальное,Измайловский парк,222,Еженедельно
Эко-лекция,Волонтерская деятельность,Крылатское,330,Раз в год
Эко-лекция,Групповое,Парк Горького,254,Раз в год
Уборка территории,Групповое,Воробьевы горы,275,Раз в год
Эко-лекция,Групповое,Крылатское,143,Еженедельно
Уборка территории,Индивидуальное,Крылатское,310,Раз в месяц
Уход за парком,Групповое,Подольск,252,Раз в месяц
Эко-лекция,Индивидуальное,Воробьевы горы,491,Раз в месяц
Уход за парком,Групповое,Сокольники,252,Раз в месяц
Субботник,Индивидуальное,Люблино,115,Еженедельно
Эко-лекция,Групповое,Мытищи,91,Еженедельно
Насаждение деревьев,Индивидуальное,Битцевский лес,113,Раз в месяц
Уход за парком,Волонтерская деятельность,Зеленоград,51,Раз в год
Насаждение деревьев,Индивидуальное,Лосиный Остров,319,Еженедельно
Эко-лекция,Волонтерская деятельность,Битцевский лес,417,Еженедельно
Субботник,Волонтерская деятельность,Крылатское,146,Еженедельно
Субботник,Групповое,Люблино,271,Раз в год
Уход за парком,Волонтерская деятельность,Зеленоград,389,Еженедельно
Насаждение деревьев,Индивидуальное,Люблино,142,Раз в год
Уход за парком,Групповое,Подольск,351,Еженедельно
Насаждение деревьев,Индивидуальное,Битцевский лес,29,Еженедельно
Уборка территории,Групповое,Подольск,335,Раз в год
Субботник,Индивидуальное,Измайловский парк,193,Еженедельно
Уборка территории,Групповое,Крылатское,136,Раз в год
Уборка территории,Групповое,Измайловский парк,387,Раз в месяц
Субботник,Групповое,Крылатское,35,Раз в год
Эко-лекция,Групповое,Сокольники,497,Раз в год
Эко-лекция,Групповое,Сокольники,165,Еженедельно
Субботник,Групповое,Битцевский лес,258,Раз в год
Уход за парком,Групповое,Люблино,47,Раз в год
Уход за парком,Групповое,Подольск,218,Раз в месяц
Уход за парком,Групповое,Парк Горького,324,Еженедельно
Уборка территории,Групповое,Парк Горького,422,Раз в год
Эко-лекция,Волонтерская деятельность,Сокольники,145,Раз в год
Субботник,Волонтерская деятельность,Сокольники,34,Раз в месяц
Уборка территории,Волонтерская деятельность,Измайловский парк,47,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Парк Горького,342,Раз в год
Уборка территории,Волонтерская деятельность,Лосиный Остров,192,Еженедельно
Эко-лекция,Групповое,Сокольники,400,Раз в месяц
Уход за парком,Индивидуальное,Сокольники,70,Еженедельно
Эко-лекция,Групповое,Лосиный Остров,6,Раз в год
Уборка территории,Групповое,Химки,259,Раз в месяц
Уход за парком,Индивидуальное,Мытищи,267,Раз в месяц
Субботник,Волонтерская деятельность,Битцевский лес,36,Раз в год
Уборка территории,Индивидуальное,Зеленоград,459,Раз в год
Уход за парком,Волонтерская деятельность,Химки,396,Раз в год
Уход за парком,Индивидуальное,Битцевский лес,11,Раз в месяц
Уборка территории,Индивидуальное,Мытищи,347,Раз в месяц
Эко-лекция,Индивидуальное,Воробьевы горы,264,Еженедельно
Субботник,Групповое,Химки,217,Еженедельно
Субботник,Групповое,Лосиный Остров,291,Раз в месяц
Субботник,Волонтерская деятельность,Люблино,65,Раз в месяц
Уход за парком,Групповое,Химки,74,Еженедельно
Уборка территории,Волонтерская деятельность,Воробьевы горы,260,Раз в месяц
Эко-лекция,Волонтерская деятельность,Зеленоград,369,Еженедельно
Уборка территории,Индивидуальное,Люблино,65,Еженедельно
Уборка территории,Групповое,Воробьевы горы,328,Еженедельно
Эко-лекция,Групповое,Лосиный Остров,436,Раз в месяц
Уход за парком,Индивидуальное,Сокольники,415,Раз в год
Уборка территории,Групповое,Крылатское,55,Еженедельно
Уход за парком,Волонтерская деятельность,Зеленоград,287,Еженедельно
Уборка территории,Волонтерская деятельность,Мытищи,491,Еженедельно
Насаждение деревьев,Индивидуальное,Химки,281,Еженедельно
Субботник,Волонтерская деятельность,Химки,414,Раз в месяц
Субботник,Индивидуальное,Парк Горького,62,Еженедельно
Субботник,Групповое,Сокольники,91,Раз в месяц
Уход за парком,Индивидуальное,Воробьевы горы,207,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,14,Раз в месяц
Эко-лекция,Групповое,Подольск,255,Еженедельно
Уборка территории,Групповое,Мытищи,470,Раз в месяц
Насаждение деревьев,Групповое,Крылатское,358,Еженедельно
Эко-лекция,Индивидуальное,Подольск,223,Еженедельно
Уход за парком,Индивидуальное,Парк Горького,141,Раз в год
Насаждение деревьев,Волонтерская деятельность,Сокольники,149,Раз в месяц
Уход за парком,Групповое,Крылатское,270,Раз в месяц
Эко-лекция,Волонтерская деятельность,Лосиный Остров,385,Раз в месяц
Насаждение деревьев,Групповое,Подольск,16,Раз в год
Насаждение деревьев,Индивидуальное,Зеленоград,190,Раз в год
Эко-лекция,Индивидуальное,Зеленоград,219,Раз в месяц
Уборка территории,Индивидуальное,Зеленоград,323,Раз в год
Уход за парком,Волонтерская деятельность,Мытищи,101,Еженедельно
Эко-лекция,Групповое,Крылатское,200,Еженедельно
Насаждение деревьев,Индивидуальное,Воробьевы горы,425,Еженедельно
Эко-лекция,Волонтерская деятельность,Мытищи,149,Раз в год
Уборка территории,Групповое,Зеленоград,198,Еженедельно
Эко-лекция,Индивидуальное,Лосиный Остров,51,Раз в год
Уход за парком,Индивидуальное,Крылатское,24,Раз в год
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,494,Раз в год
Субботник,Волонтерская деятельность,Сокольники,499,Раз в год
Субботник,Групповое,Люблино,313,Раз в год
Эко-лекция,Групповое,Химки,332,Еженедельно
Субботник,Индивидуальное,Мытищи,230,Еженедельно
Уход за парком,Индивидуальное,Крылатское,259,Еженедельно
Субботник,Групповое,Битцевский лес,135,Раз в год
Эко-лекция,Волонтерская деятельность,Битцевский лес,388,Раз в месяц
Уборка территории,Волонтерская деятельность,Лосиный Остров,93,Еженедельно
Субботник,Индивидуальное,Сокольники,235,Еженедельно
Субботник,Групповое,Воробьевы горы,232,Еженедельно
Уход за парком,Волонтерская деятельность,Люблино,105,Раз в месяц
Уборка территории,Волонтерская деятельность,Крылатское,259,Еженедельно
Эко-лекция,Волонтерская деятельность,Битцевский лес,352,Еженедельно
Эко-лекция,Индивидуальное,Сокольники,225,Еженедельно
Уход за парком,Индивидуальное,Лосиный Остров,40,Раз в год
Уход за парком,Волонтерская деятельность,Зеленоград,489,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Подольск,293,Еженедельно
Насаждение деревьев,Индивидуальное,Зеленоград,455,Раз в месяц
Уборка территории,Индивидуальное,Воробьевы горы,137,Раз в месяц
Уборка территории,Индивидуальное,Сокольники,336,Еженедельно
Эко-лекция,Групповое,Воробьевы горы,18,Раз в год
Уход за парком,Индивидуальное,Измайловский парк,128,Раз в месяц
Уход за парком,Волонтерская деятельность,Мытищи,90,Раз в год
Эко-лекция,Волонтерская деятельность,Сокольники,272,Раз в год
Эко-лекция,Волонтерская деятельность,Измайловский парк,366,Раз в месяц
Насаждение деревьев,Индивидуальное,Измайловский парк,250,Еженедельно
Субботник,Индивидуальное,Воробьевы горы,373,Еженедельно
Уход за парком,Волонтерская деятельность,Сокольники,404,Раз в год
Насаждение деревьев,Индивидуальное,Подольск,207,Раз в год
Эко-лекция,Индивидуальное,Сокольники,325,Раз в месяц
Эко-лекция,Индивидуальное,Измайловский парк,288,Раз в месяц
Насаждение деревьев,Групповое,Крылатское,415,Еженедельно
Эко-лекция,Волонтерская деятельность,Парк Горького,126,Еженедельно
Субботник,Волонтерская деятельность,Парк Горького,71,Раз в год
Субботник,Волонтерская деятельность,Крылатское,397,Еженедельно
Уход за парком,Индивидуальное,Люблино,94,Раз в год
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,397,Раз в месяц
Уборка территории,Групповое,Подольск,34,Раз в год
Эко-лекция,Индивидуальное,Воробьевы горы,363,Еженедельно
Субботник,Групповое,Мытищи,240,Раз в год
Эко-лекция,Волонтерская деятельность,Зеленоград,93,Раз в месяц
Насаждение деревьев,Групповое,Мытищи,136,Раз в год
Субботник,Индивидуальное,Подольск,60,Раз в месяц
Насаждение деревьев,Групповое,Крылатское,319,Еженедельно
Уборка территории,Индивидуальное,Воробьевы горы,159,Раз в год
Эко-лекция,Волонтерская деятельность,Сокольники,437,Еженедельно
Уборка территории,Волонтерская деятельность,Битцевский лес,48,Еженедельно
Уход за парком,Групповое,Химки,58,Еженедельно
Субботник,Групповое,Сокольники,160,Еженедельно
Эко-лекция,Групповое,Подольск,351,Еженедельно
Эко-лекция,Индивидуальное,Воробьевы горы,222,Раз в месяц
Субботник,Индивидуальное,Парк Горького,237,Раз в месяц
Уборка территории,Групповое,Лосиный Остров,105,Раз в месяц
Уборка территории,Волонтерская деятельность,Люблино,300,Еженедельно
Эко-лекция,Групповое,Люблино,234,Раз в месяц
Насаждение деревьев,Индивидуальное,Парк Горького,447,Раз в месяц
Уход за парком,Групповое,Люблино,86,Раз в год
Уход за парком,Групповое,Крылатское,378,Раз в месяц
Насаждение деревьев,Индивидуальное,Битцевский лес,217,Еженедельно
Уход за парком,Индивидуальное,Крылатское,325,Раз в месяц
Субботник,Волонтерская деятельность,Лосиный Остров,103,Еженедельно
Субботник,Групповое,Воробьевы горы,114,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Парк Горького,68,Раз в месяц
Субботник,Волонтерская деятельность,Химки,43,Раз в год
Субботник,Индивидуальное,Сокольники,129,Еженедельно
Насаждение деревьев,Групповое,Лосиный Остров,110,Раз в год
Насаждение деревьев,Волонтерская деятельность,Измайловский парк,94,Раз в год
Эко-лекция,Волонтерская деятельность,Лосиный Остров,413,Еженедельно
Уборка территории,Индивидуальное,Измайловский парк,119,Еженедельно
Субботник,Индивидуальное,Парк Горького,239,Раз в месяц
Субботник,Волонтерская деятельность,Битцевский лес,157,Раз в месяц
Уход за парком,Волонтерская деятельность,Парк Горького,397,Раз в год
Эко-лекция,Индивидуальное,Лосиный Остров,80,Раз в месяц
Эко-лекция,Индивидуальное,Зеленоград,445,Раз в месяц
Уход за парком,Групповое,Лосиный Остров,326,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Измайловский парк,217,Еженедельно
Уход за парком,Индивидуальное,Зеленоград,134,Раз в год
Уборка территории,Индивидуальное,Мытищи,273,Еженедельно
Субботник,Индивидуальное,Мытищи,217,Раз в год
Уборка территории,Волонтерская деятельность,Битцевский лес,24,Раз в год
Уборка территории,Волонтерская деятельность,Битцевский лес,124,Раз в месяц
Субботник,Групповое,Люблино,358,Еженедельно
Субботник,Индивидуальное,Люблино,37,Раз в год
Эко-лекция,Индивидуальное,Люблино,295,Раз в год
Уборка территории,Волонтерская деятельность,Сокольники,108,Раз в год
Эко-лекция,Групповое,Мытищи,394,Раз в месяц
Уборка территории,Групповое,Крылатское,408,Раз в месяц
Субботник,Волонтерская деятельность,Люблино,108,Еженедельно
Субботник,Волонтерская деятельность,Мытищи,296,Раз в год
Эко-лекция,Индивидуальное,Воробьевы горы,126,Раз в год
Эко-лекция,Волонтерская деятельность,Химки,83,Раз в месяц
Уборка территории,Групповое,Битцевский лес,138,Еженедельно
Субботник,Волонтерская деятельность,Измайловский парк,268,Раз в год
Уход за парком,Групповое,Битцевский лес,29,Еженедельно
Субботник,Групповое,Химки,57,Раз в год
Насаждение деревьев,Групповое,Крылатское,372,Еженедельно
Уход за парком,Волонтерская деятельность,Химки,196,Раз в месяц
Уборка территории,Индивидуальное,Крылатское,217,Раз в месяц
Субботник,Индивидуальное,Люблино,289,Раз в год
Уборка территории,Групповое,Лосиный Остров,206,Раз в год
Уборка территории,Волонтерская деятельность,Подольск,386,Раз в год
Эко-лекция,Групповое,Подольск,216,Раз в месяц
Уборка территории,Групповое,Мытищи,268,Раз в месяц
Уборка территории,Волонтерская деятельность,Сокольники,8,Раз в месяц
Субботник,Групповое,Измайловский парк,82,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Подольск,185,Раз в месяц
Уборка территории,Индивидуальное,Подольск,218,Раз в год
Субботник,Индивидуальное,Подольск,62,Раз в месяц
Эко-лекция,Групповое,Сокольники,466,Раз в месяц
Уход за парком,Групповое,Измайловский парк,7,Еженедельно
Субботник,Групповое,Зеленоград,393,Раз в месяц
Субботник,Групповое,Люблино,38,Раз в год
Насаждение деревьев,Групповое,Крылатское,372,Еженедельно
Насаждение деревьев,Индивидуальное,Парк Горького,415,Раз в год
Уход за парком,Групповое,Люблино,359,Раз в месяц
Уход за парком,Групповое,Битцевский лес,453,Еженедельно
Насаждение деревьев,Групповое,Воробьевы горы,60,Раз в месяц
Уход за парком,Групповое,Химки,388,Раз в год
Уборка территории,Индивидуальное,Мытищи,65,Раз в год
Насаждение деревьев,Индивидуальное,Химки,267,Еженедельно
Субботник,Групповое,Сокольники,171,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,482,Еженедельно
Субботник,Волонтерская деятельность,Подольск,64,Раз в месяц
Эко-лекция,Групповое,Подольск,344,Раз в год
Уход за парком,Групповое,Химки,119,Еженедельно
Насаждение деревьев,Групповое,Химки,467,Еженедельно
Эко-лекция,Индивидуальное,Люблино,47,Раз в год
Эко-лекция,Волонтерская деятельность,Воробьевы горы,125,Еженедельно
Уборка территории,Волонтерская деятельность,Измайловский парк,58,Еженедельно
Субботник,Индивидуальное,Зеленоград,228,Раз в год
Субботник,Волонтерская деятельность,Мытищи,471,Раз в месяц
Уборка территории,Индивидуальное,Парк Горького,499,Раз в год
Субботник,Индивидуальное,Битцевский лес,307,Раз в месяц
Уборка территории,Волонтерская деятельность,Крылатское,69,Еженедельно
Уборка территории,Индивидуальное,Воробьевы горы,222,Еженедельно
Уборка территории,Волонтерская деятельность,Битцевский лес,389,Раз в месяц
Эко-лекция,Волонтерская деятельность,Подольск,94,Раз в год
Уход за парком,Групповое,Сокольники,359,Раз в год
Эко-лекция,Индивидуальное,Зеленоград,450,Раз в месяц
Субботник,Групповое,Битцевский лес,245,Раз в год
Субботник,Индивидуальное,Подольск,329,Еженедельно
Уборка территории,Волонтерская деятельность,Измайловский парк,488,Раз в год
Субботник,Групповое,Подольск,165,Раз в год
Уход за парком,Волонтерская деятельность,Зеленоград,104,Раз в год
Уборка территории,Индивидуальное,Подольск,166,Еженедельно
Эко-лекция,Волонтерская деятельность,Лосиный Остров,173,Раз в год
Эко-лекция,Индивидуальное,Битцевский лес,350,Раз в месяц
Насаждение деревьев,Групповое,Сокольники,119,Раз в месяц
Насаждение деревьев,Групповое,Лосиный Остров,66,Раз в месяц
Насаждение деревьев,Индивидуальное,Битцевский лес,329,Еженедельно
Эко-лекция,Индивидуальное,Химки,392,Еженедельно
Эко-лекция,Волонтерская деятельность,Битцевский лес,226,Еженедельно
Уборка территории,Волонтерская деятельность,Сокольники,497,Еженедельно
Уход за парком,Волонтерская деятельность,Подольск,205,Раз в год
Уборка территории,Волонтерская деятельность,Воробьевы горы,26,Раз в год
Уход за парком,Индивидуальное,Воробьевы горы,246,Раз в месяц
Насаждение деревьев,Индивидуальное,Мытищи,17,Раз в год
Субботник,Волонтерская деятельность,Лосиный Остров,303,Раз в год
Эко-лекция,Волонтерская деятельность,Сокольники,248,Еженедельно
Эко-лекция,Волонтерская деятельность,Крылатское,312,Раз в год
Эко-лекция,Волонтерская деятельность,Химки,92,Раз в месяц
Эко-лекция,Индивидуальное,Мытищи,70,Раз в год
Уборка территории,Индивидуальное,Парк Горького,294,Раз в год
Эко-лекция,Индивидуальное,Воробьевы горы,81,Раз в месяц
Уборка территории,Волонтерская деятельность,Парк Горького,426,Раз в месяц
Субботник,Индивидуальное,Мытищи,102,Раз в год
Уход за парком,Волонтерская деятельность,Зеленоград,59,Раз в год
Насаждение деревьев,Индивидуальное,Битцевский лес,454,Раз в год
Уход за парком,Групповое,Мытищи,159,Раз в год
Уборка территории,Волонтерская деятельность,Мытищи,336,Еженедельно
Эко-лекция,Индивидуальное,Зеленоград,117,Раз в год
Субботник,Групповое,Химки,190,Еженедельно
Насаждение деревьев,Групповое,Зеленоград,389,Раз в год
Уход за парком,Индивидуальное,Химки,45,Раз в месяц
Уход за парком,Групповое,Крылатское,42,Раз в год
Уход за парком,Волонтерская деятельность,Химки,100,Раз в месяц
Уборка территории,Индивидуальное,Подольск,176,Раз в месяц
Эко-лекция,Индивидуальное,Сокольники,150,Еженедельно
Эко-лекция,Групповое,Сокольники,259,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Лосиный Остров,398,Раз в год
Уход за парком,Групповое,Мытищи,486,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Крылатское,69,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,468,Раз в месяц
Насаждение деревьев,Групповое,Сокольники,394,Раз в год
Эко-лекция,Групповое,Крылатское,393,Раз в месяц
Уборка территории,Групповое,Воробьевы горы,110,Раз в год
Эко-лекция,Волонтерская деятельность,Парк Горького,10,Раз в год
Насаждение деревьев,Волонтерская деятельность,Измайловский парк,163,Раз в месяц
Уборка территории,Групповое,Парк Горького,327,Раз в год
Уход за парком,Индивидуальное,Сокольники,190,Раз в год
Насаждение деревьев,Групповое,Мытищи,240,Раз в год
Уход за парком,Волонтерская деятельность,Зеленоград,43,Раз в месяц
Уборка территории,Групповое,Подольск,384,Раз в год
Субботник,Волонтерская деятельность,Люблино,314,Еженедельно
Эко-лекция,Волонтерская деятельность,Зеленоград,188,Раз в год
Насаждение деревьев,Индивидуальное,Зеленоград,282,Еженедельно
Эко-лекция,Волонтерская деятельность,Измайловский парк,177,Раз в месяц
Субботник,Групповое,Измайловский парк,420,Раз в год
Насаждение деревьев,Волонтерская деятельность,Зеленоград,64,Еженедельно
Уборка территории,Волонтерская деятельность,Воробьевы горы,345,Раз в год
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,11,Еженедельно
Эко-лекция,Индивидуальное,Измайловский парк,75,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Крылатское,474,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,426,Еженедельно
Насаждение деревьев,Групповое,Мытищи,429,Еженедельно
Насаждение деревьев,Индивидуальное,Крылатское,78,Раз в год
Уборка территории,Волонтерская деятельность,Измайловский парк,326,Раз в год
Эко-лекция,Индивидуальное,Сокольники,338,Еженедельно
Субботник,Групповое,Химки,94,Раз в год
Эко-лекция,Групповое,Измайловский парк,164,Раз в год
Субботник,Групповое,Лосиный Остров,483,Раз в месяц
Уход за парком,Групповое,Измайловский парк,309,Раз в месяц
Субботник,Групповое,Люблино,118,Раз в год
Эко-лекция,Индивидуальное,Люблино,492,Раз в месяц
Насаждение деревьев,Групповое,Лосиный Остров,493,Раз в год
Уборка территории,Групповое,Химки,277,Еженедельно
Уборка территории,Индивидуальное,Битцевский лес,371,Еженедельно
Субботник,Индивидуальное,Подольск,256,Раз в год
Уборка территории,Групповое,Подольск,238,Раз в год
Насаждение деревьев,Групповое,Крылатское,425,Еженедельно
Субботник,Групповое,Измайловский парк,11,Еженедельно
Субботник,Индивидуальное,Лосиный Остров,288,Еженедельно
Субботник,Групповое,Битцевский лес,261,Раз в год
Уборка территории,Индивидуальное,Сокольники,77,Раз в год
Субботник,Волонтерская деятельность,Подольск,150,Еженедельно
Насаждение деревьев,Индивидуальное,Измайловский парк,363,Раз в год
Насаждение деревьев,Волонтерская деятельность,Подольск,334,Раз в год
Субботник,Волонтерская деятельность,Воробьевы горы,182,Еженедельно
Субботник,Групповое,Зеленоград,213,Раз в год
Субботник,Волонтерская деятельность,Зеленоград,162,Еженедельно
Субботник,Волонтерская деятельность,Химки,427,Раз в год
Уход за парком,Волонтерская деятельность,Воробьевы горы,117,Раз в месяц
Эко-лекция,Индивидуальное,Химки,272,Раз в месяц
Эко-лекция,Волонтерская деятельность,Зеленоград,452,Раз в год
Уход за парком,Индивидуальное,Сокольники,104,Раз в год
Уборка территории,Групповое,Подольск,7,Еженедельно
Уход за парком,Индивидуальное,Люблино,484,Раз в месяц
Субботник,Индивидуальное,Химки,461,Еженедельно
Насаждение деревьев,Индивидуальное,Сокольники,173,Раз в год
Уход за парком,Волонтерская деятельность,Химки,128,Еженедельно
Эко-лекция,Индивидуальное,Химки,250,Раз в месяц
Субботник,Групповое,Парк Горького,473,Раз в год
Эко-лекция,Групповое,Люблино,210,Раз в месяц
Насаждение деревьев,Индивидуальное,Мытищи,249,Раз в год
Уборка территории,Индивидуальное,Крылатское,43,Еженедельно
Насаждение деревьев,Индивидуальное,Подольск,428,Еженедельно
Насаждение деревьев,Индивидуальное,Химки,185,Раз в месяц
Уборка территории,Групповое,Зеленоград,421,Еженедельно
Уборка территории,Групповое,Битцевский лес,397,Раз в год
Уход за парком,Индивидуальное,Воробьевы горы,178,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Крылатское,98,Раз в год
Уборка территории,Групповое,Битцевский лес,116,Раз в месяц
Насаждение деревьев,Групповое,Измайловский парк,258,Раз в месяц
Эко-лекция,Индивидуальное,Зеленоград,395,Раз в месяц
Уборка территории,Групповое,Парк Горького,111,Раз в месяц
Уборка территории,Групповое,Крылатское,71,Раз в год
Уход за парком,Индивидуальное,Воробьевы горы,279,Раз в год
Субботник,Групповое,Битцевский лес,32,Еженедельно
Субботник,Групповое,Крылатское,357,Раз в год
Эко-лекция,Индивидуальное,Измайловский парк,110,Раз в год
Уборка территории,Индивидуальное,Воробьевы горы,47,Еженедельно
Уход за парком,Групповое,Мытищи,188,Раз в месяц
Субботник,Индивидуальное,Крылатское,344,Раз в месяц
Уборка территории,Групповое,Битцевский лес,419,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,61,Раз в год
Уборка территории,Индивидуальное,Химки,135,Еженедельно
Насаждение деревьев,Групповое,Воробьевы горы,364,Раз в месяц
Уход за парком,Групповое,Парк Горького,413,Еженедельно
Эко-лекция,Групповое,Битцевский лес,25,Раз в год
Уборка территории,Индивидуальное,Измайловский парк,354,Еженедельно
Уход за парком,Индивидуальное,Измайловский парк,401,Раз в год
Субботник,Групповое,Зеленоград,334,Раз в год
Эко-лекция,Индивидуальное,Воробьевы горы,294,Раз в год
Уборка территории,Волонтерская деятельность,Крылатское,103,Раз в месяц
Эко-лекция,Групповое,Битцевский лес,272,Раз в год
Эко-лекция,Волонтерская деятельность,Люблино,130,Еженедельно
Уборка территории,Индивидуальное,Мытищи,470,Раз в месяц
Эко-лекция,Групповое,Лосиный Остров,346,Раз в год
Насаждение деревьев,Индивидуальное,Зеленоград,138,Еженедельно
Субботник,Волонтерская деятельность,Крылатское,49,Еженедельно
Насаждение деревьев,Групповое,Парк Горького,67,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Химки,45,Еженедельно
Эко-лекция,Групповое,Люблино,27,Раз в год
Уборка территории,Индивидуальное,Мытищи,382,Раз в месяц
Эко-лекция,Волонтерская деятельность,Лосиный Остров,119,Еженедельно
Эко-лекция,Групповое,Парк Горького,474,Раз в год
Субботник,Волонтерская деятельность,Лосиный Остров,44,Еженедельно
Эко-лекция,Индивидуальное,Зеленоград,480,Еженедельно
Уход за парком,Волонтерская деятельность,Зеленоград,148,Еженедельно
Субботник,Волонтерская деятельность,Зеленоград,145,Раз в год
Насаждение деревьев,Волонтерская деятельность,Мытищи,94,Раз в месяц
Субботник,Индивидуальное,Лосиный Остров,402,Еженедельно
Субботник,Волонтерская деятельность,Подольск,366,Раз в год
Уборка территории,Групповое,Мытищи,377,Раз в месяц
Уход за парком,Индивидуальное,Люблино,346,Раз в год
Субботник,Индивидуальное,Люблино,375,Раз в год
Уборка территории,Групповое,Битцевский лес,52,Еженедельно
Эко-лекция,Групповое,Измайловский парк,126,Еженедельно
Эко-лекция,Индивидуальное,Мытищи,371,Еженедельно
Насаждение деревьев,Групповое,Люблино,11,Еженедельно
Уборка территории,Волонтерская деятельность,Подольск,428,Раз в год
Эко-лекция,Групповое,Химки,490,Еженедельно
Эко-лекция,Волонтерская деятельность,Химки,203,Еженедельно
